int_name,partner_a,partner_b,complex1_gene1,complex1_gene2,complex1_gene3,complex_2_gene1,complex_2_gene2,complex_2_gene3,wilcox.pval,mean.diff,median.diff,mean.p53,mean.wt,median.p53,median.wt,sd.p53,sd.wt,BW11.C,BW11.D,BW14.A,BW14.B,1174.C,1174.D,BW09.A,BW09.B,BW09.C,BW09.D,BW19.C,BW19.D,BW23.A,BW23.B,BW16.A,BW16.B,1179.A,1179.B,1179.C,1179.D,alt_name
EPHB2-EFNA5,EPHB2,EFNA5,,,,,,,0.001998002,0.375225197,0.437776721,0.490824782,0.115599585,0.494625134,0.056848413,0.032615675,0.138171279,0.525960617,0.50174984,0.448088245,0.487500428,0.012420471,0.020491501,0.067384012,0.046312814,0.029408597,0.042517476,0.372480383,0.368839202,0.125478661,0.070662737,0.372329853,0.343377322,0.051373991,0.058631911,0.059134648,0.032010252,EPHB2-EFNA5
COL18A1-a2b1 complex,COL18A1,a2b1 complex,,,,ITGB1,ITGA2,,0.007992008,0.361107235,0.414601804,0.556762912,0.195655677,0.561840103,0.147238299,0.163813225,0.157504103,0.439303967,0.392986325,0.684376239,0.710385118,0.286291956,0.369802699,0.010180339,0.076211232,0.046159557,0.062411859,0.367107431,0.4439151,0.158141286,0.136335312,0.126123726,0.119755795,0.299413912,0.306084306,0.244778835,0.230507137,COL18A1-COMPLEX_93
C3-C3AR1,C3,C3AR1,,,,,,,0.001998002,0.359339002,0.369381288,0.341022522,-0.01831648,0.350323982,-0.019057306,0.091708083,0.141820412,0.407580014,0.427451261,0.235990861,0.293067951,-0.049367689,0.012139984,-0.129229474,-0.161720789,-0.17147505,-0.157643869,0.011253076,0.060907866,0.206069715,0.195901429,0.007314714,0.007342435,0.15103812,0.099400331,0.102982944,0.118800888,C3-C3AR1
EGFR-AREG,EGFR,AREG,,,,,,,0.007992008,0.350111769,0.417403903,0.63401766,0.283905891,0.635419142,0.218015239,0.088383049,0.187118549,0.592051562,0.533456359,0.678786722,0.731775997,0.079370653,0.141637745,0.216347161,0.45168576,0.280705717,0.219683317,0.160532033,0.135897871,0.638767829,0.514430829,0.118083515,0.134858835,0.063526098,0.007081629,0.066598035,0.029664179,EGFR-AREG
COL9A2-a2b1 complex,COL9A2,a2b1 complex,,,,ITGB1,ITGA2,,0.001998002,0.335611427,0.320142188,0.457958231,0.122346804,0.443138648,0.122996459,0.194789504,0.038757683,0.662418173,0.586357782,0.299919513,0.283137454,0.082351739,0.056219677,0.133959171,0.185029857,0.151205938,0.128702428,0.11729049,0.115865678,0.161840353,0.091002708,0.33725687,0.382141409,-0.004896247,0.016761227,-0.009405792,-0.012129631,COL9A2-COMPLEX_93
WNT5A-FZD1,WNT5A,FZD1,,,,,,,0.001998002,0.323093956,0.34834142,0.434904001,0.111810045,0.440800684,0.092459264,0.075409016,0.057555086,0.385685245,0.355369514,0.495916123,0.502645122,0.064692527,0.046757505,0.092439708,0.122720069,0.12222175,0.089615609,0.210708421,0.211428751,0.092478819,0.06503729,0.235219234,0.233979724,0.10081117,0.07623521,0.08659214,0.066691068,WNT5A-FZD1
COL21A1-a2b1 complex,COL21A1,a2b1 complex,,,,ITGB1,ITGA2,,0.007992008,0.317547484,0.351784064,0.451240322,0.133692838,0.463437314,0.11165325,0.15852256,0.090177932,0.362312382,0.274209116,0.564562246,0.603877545,0.021828279,0.088129097,0.050020907,0.141535804,0.106894001,0.088172413,0.287133207,0.291038811,0.145763364,0.116412499,0.176597851,0.194256752,0.164133352,0.170145845,0.131404987,0.121600395,COL21A1-COMPLEX_93
NRP1-VEGFA,NRP1,VEGFA,,,,,,,0.007992008,0.317383999,0.333045191,0.428952573,0.111568574,0.433006444,0.099961253,0.243879927,0.087837139,0.253121868,0.186519173,0.61289102,0.663278231,0.242323123,0.230883682,0.005311933,0.089223817,-0.009439412,0.044063841,0.074772887,0.152111268,0.175735909,0.110698688,0.217517902,0.224861592,0.207790371,0.221888993,0.144426173,0.124619191,NRP1-VEGFA
WNT5A-ANTXR1,WNT5A,ANTXR1,,,,,,,0.013986014,0.313468838,0.319021278,0.477103433,0.163634595,0.479445984,0.160424706,0.244240973,0.073442708,0.271483308,0.259770116,0.689751648,0.687408661,0.164875678,0.168227908,0.09832301,0.155973734,0.115764561,0.108514037,0.302042669,0.269350908,0.180475911,0.072797532,0.137225418,0.204772598,0.091996394,0.096456476,0.096058963,0.109724151,WNT5A-ANTXR1
COL11A1-a11b1 complex,COL11A1,a11b1 complex,,,,ITGB1,ITGA11,,0.001998002,0.313094409,0.295740927,0.464945149,0.151850739,0.468317118,0.172576191,0.220597151,0.082896747,0.284165675,0.263936745,0.659209614,0.652468561,0.223748166,0.253263716,0.170419201,0.204801893,0.161914938,0.133747189,0.174733181,0.180225618,0.007192563,0.00846093,0.564041577,0.538789075,0.26776501,0.266492345,0.285851004,0.238981114,COL11A1-COMPLEX_90
COL16A1-a11b1 complex,COL16A1,a11b1 complex,,,,ITGB1,ITGA11,,0.001998002,0.307069413,0.321063802,0.413945042,0.106875628,0.421576241,0.10051244,0.126610069,0.069417406,0.28331239,0.32777146,0.515381022,0.529315294,0.038710076,0.065302224,0.094051784,0.197143208,0.106973095,0.120845854,0.199851444,0.184683768,0.063391404,-0.002196574,0.264409198,0.245402661,0.275956114,0.29975277,0.253367981,0.26444796,COL16A1-COMPLEX_90
EGFR-GRN,EGFR,GRN,,,,,,,0.001998002,0.296214216,0.383168445,0.649140487,0.352926271,0.642348488,0.259180043,0.038855812,0.168064902,0.70058695,0.655704291,0.61127802,0.628992685,0.203169408,0.249504478,0.225176844,0.268855609,0.200359792,0.207796581,0.59960368,0.565582563,0.529862688,0.479351066,0.189978455,0.178186393,0.095313865,0.054864097,0.078584403,0.118281172,EGFR-GRN
SPP1-PTGER4,SPP1,PTGER4,,,,,,,0.001998002,0.293924794,0.31140164,0.467526561,0.173601768,0.457657405,0.146255765,0.128915815,0.073181414,0.376788942,0.342509016,0.538525869,0.612282419,0.325844728,0.26496621,0.109364858,0.095675339,0.14130793,0.146404003,0.208296189,0.146107527,0.176640185,0.121410709,0.318100583,0.319860692,0.157268033,0.142396683,0.170044299,0.129518242,SPP1-PTGER4
LAMC1-a2b1 complex,LAMC1,a2b1 complex,,,,ITGB1,ITGA2,,0.003996004,0.289650788,0.324577906,0.578224134,0.288573346,0.588012698,0.263434792,0.031263374,0.162886064,0.598630424,0.534351414,0.577394971,0.602519726,0.246750296,0.280119288,0.10539121,0.166671025,0.133077529,0.133432178,0.337812541,0.415679657,0.563748048,0.503051686,0.207752338,0.193751663,0.331779167,0.3131017,0.291805754,0.260627437,LAMC1-COMPLEX_93
COL5A1-a11b1 complex,COL5A1,a11b1 complex,,,,ITGB1,ITGA11,,0.007992008,0.2875978,0.2890146,0.568033673,0.280435873,0.573003632,0.283989032,0.261932206,0.048497244,0.329848517,0.352835535,0.796278912,0.793171729,0.297758729,0.270219335,0.215950361,0.347950405,0.257468136,0.229702932,0.344603826,0.3080337,0.223506665,0.309164643,0.483615842,0.487933155,0.338978758,0.338371931,0.340237232,0.321990849,COL5A1-COMPLEX_90
EFNA1-EPHA1,EFNA1,EPHA1,,,,,,,0.001998002,0.283334094,0.259289726,0.472267504,0.18893341,0.468389632,0.209099905,0.082627862,0.0554139,0.418576243,0.388227255,0.51820302,0.564063497,0.227007926,0.203894749,0.104627561,0.179469593,0.130925788,0.110288618,0.214305061,0.222095875,0.262668264,0.234050661,0.179481995,0.20097056,0.055511581,0.063126437,0.039877039,0.00712897,EFNA1-EPHA1
COL6A3-a11b1 complex,COL6A3,a11b1 complex,,,,ITGB1,ITGA11,,0.003996004,0.283053432,0.299633845,0.573623375,0.290569943,0.589582865,0.289949021,0.230533147,0.028534228,0.341866455,0.408916443,0.773461316,0.770249287,0.285442796,0.275897401,0.267811894,0.351874849,0.2906689,0.293974893,0.315793849,0.289229141,0.244091318,0.290914394,0.39412045,0.381357451,0.30576362,0.303456995,0.278248776,0.308886714,COL6A3-COMPLEX_90
NRP1-VEGFB,NRP1,VEGFB,,,,,,,0.001998002,0.273729222,0.258487826,0.58226276,0.308533538,0.578893457,0.320405632,0.128212576,0.060600983,0.498964339,0.450553089,0.658822575,0.720711035,0.24414743,0.26630264,0.319280291,0.376286432,0.321530972,0.337123175,0.217727125,0.254050817,0.402090071,0.346796422,0.209939642,0.247742211,0.179725351,0.20946217,0.161281319,0.166812126,NRP1-VEGFB
WNT7B-FZD1,WNT7B,FZD1,,,,,,,0.001998002,0.272912756,0.270562922,0.417020414,0.144107658,0.409063832,0.138500911,0.035812646,0.128861701,0.463068495,0.427671402,0.386885494,0.390456263,0.331004232,0.30910475,0.025577846,0.018823076,0.00617131,0.005323718,0.197442619,0.125347482,0.270627205,0.151654339,0.099154688,0.146432511,0.0491365,-0.001307966,0.012015997,0.039931954,WNT7B-FZD1
VEGFA-EPHB2,VEGFA,EPHB2,,,,,,,0.001998002,0.270571492,0.320433546,0.442588157,0.172016665,0.442241711,0.121808165,0.012277436,0.122922711,0.456930088,0.447717975,0.436765447,0.428939117,0.095555132,0.051343716,0.119334775,0.153379434,0.104892406,0.099817195,0.411656139,0.379286334,0.180619963,0.124281556,0.264658422,0.295940965,0.042326839,0.082743584,0.071495432,0.043146749,VEGFA-EPHB2
C3-aMb2 complex,C3,aMb2 complex,,,,ITGB2,ITGAM,,0.001998002,0.267366237,0.248090284,0.262961948,-0.004404289,0.275176247,0.027085963,0.070526674,0.092799226,0.294629871,0.333113879,0.168381417,0.255722624,0.093841188,0.119879662,-0.083121556,-0.110866073,-0.127823107,-0.103850806,0.016550699,0.06142675,0.052299128,0.037621228,0.011407991,0.01205526,0.093072209,0.05164212,0.036122731,0.08221628,C3-COMPLEX_106
FN1-a3b1 complex,FN1,a3b1 complex,,,,ITGB1,ITGA3,,0.035964036,0.265968549,0.251498834,0.433360645,0.167392096,0.445751387,0.194252552,0.216504755,0.095408947,0.281946168,0.213190567,0.62874924,0.609556605,0.220338013,0.299260399,0.037301465,0.205263529,0.037510236,0.043487004,0.165209619,0.238332685,0.243976438,0.183241575,0.106020428,0.095163272,0.162180172,0.190886356,0.079149782,0.088613009,FN1-COMPLEX_94
SPP1-a4b1 complex,SPP1,a4b1 complex,,,,ITGB1,ITGA4,,0.001998002,0.258920862,0.260234259,0.404989262,0.1460684,0.399419293,0.139185034,0.092363297,0.043849028,0.349995259,0.309111296,0.448843327,0.512007168,0.224424519,0.197318953,0.12033951,0.123110452,0.129689729,0.132589738,0.162724863,0.14578033,0.158981125,0.06572478,0.23464787,0.20767507,0.072575931,0.056791252,0.067539108,0.036603539,SPP1-COMPLEX_95
TGFB2-TGFbeta receptor2,TGFB2,TGFbeta receptor2,,,,TGFBR2,ACVR1,,0.001998002,0.254195337,0.262912059,0.39857064,0.144375303,0.394175949,0.131263889,0.040061938,0.03674693,0.378429041,0.356912681,0.409922856,0.449017981,0.104803254,0.216510527,0.125284894,0.177554951,0.120470397,0.113530326,0.177060397,0.111942474,0.159352928,0.137242885,0.139374048,0.134930019,0.081018929,0.114010105,0.056708139,0.102130597,TGFB2-COMPLEX_84
COL5A2-a11b1 complex,COL5A2,a11b1 complex,,,,ITGB1,ITGA11,,0.023976024,0.254090349,0.276556529,0.57087475,0.316784401,0.586279583,0.309723054,0.251030232,0.05552892,0.322697552,0.386613176,0.788242282,0.78594599,0.297834897,0.291941406,0.308823832,0.421197037,0.310622277,0.328495852,0.384053021,0.32251195,0.216045458,0.286318284,0.438278713,0.418255164,0.340610231,0.349586589,0.328844253,0.322744366,COL5A2-COMPLEX_90
COL16A1-a1b1 complex,COL16A1,a1b1 complex,,,,ITGB1,ITGA1,,0.001998002,0.253916499,0.253415372,0.438178473,0.184261974,0.440847593,0.187432221,0.015968653,0.078711935,0.439254972,0.416385756,0.454632951,0.442440214,0.067765963,0.150481426,0.209282734,0.327003844,0.252314627,0.221052068,0.223260965,0.165581709,0.144700477,0.08117593,0.111943511,0.039344351,0.150461048,0.15643061,0.124966588,0.174138304,COL16A1-COMPLEX_91
COL7A1-a11b1 complex,COL7A1,a11b1 complex,,,,ITGB1,ITGA11,,0.001998002,0.252330236,0.255994929,0.26463102,0.012300784,0.267950631,0.011955702,0.19489304,0.033258397,0.103801253,0.088083559,0.434539258,0.432100008,0.04175531,-0.006291098,0.00251069,-0.005467642,-0.04781045,-0.014725309,0.06602836,0.042193361,0.021400713,0.023413907,0.099148395,0.069669059,0.046777169,0.056075849,0.076415306,0.043112016,COL7A1-COMPLEX_90
EGFR-EGF,EGFR,EGF,,,,,,,0.001998002,0.252255477,0.294398282,0.460658022,0.208402545,0.46004086,0.165642578,0.01738082,0.142335858,0.482486218,0.461612367,0.44006415,0.458469353,0.30327065,0.312656273,0.071227129,0.079131563,0.084249168,0.067895224,0.439173594,0.39513669,0.165156241,0.166128915,0.196912173,0.167455958,-0.025373902,0.01584618,0.048221969,0.002761184,EGFR-EGF
TNC-aVb3 complex,TNC,aVb3 complex,,,,ITGAV,ITGB3,,0.001998002,0.250882587,0.263006255,0.330195506,0.079312919,0.338045916,0.075039661,0.19024534,0.030222067,0.148938203,0.182814716,0.493277116,0.49575199,0.051721848,0.053917247,0.072706985,0.147123374,0.1101439,0.081646363,0.087191119,0.051725707,0.059580313,0.077372337,0.049242179,0.08787836,-0.030797611,0.00787543,0.044671063,0.014798033,TNC-COMPLEX_108
COL3A1-a11b1 complex,COL3A1,a11b1 complex,,,,ITGB1,ITGA11,,0.013986014,0.247856048,0.262347207,0.590325648,0.342469599,0.597719047,0.33537184,0.231451578,0.046704134,0.369506773,0.411453132,0.796357723,0.783984963,0.332375958,0.326683921,0.338367723,0.446588224,0.357632659,0.372054212,0.360879017,0.309673104,0.275332676,0.305108499,0.40721977,0.396277605,0.350284446,0.35485257,0.344431212,0.348997948,COL3A1-COMPLEX_90
NRP2-VEGFA,NRP2,VEGFA,,,,,,,0.013986014,0.247141535,0.251006474,0.492893854,0.245752319,0.499646781,0.248640307,0.216719645,0.056817516,0.329878379,0.28233074,0.669415182,0.689951115,0.260248384,0.234982573,0.253905852,0.357746171,0.273347458,0.243374761,0.168914125,0.166030198,0.288628135,0.21034553,0.284218288,0.296801025,0.153494433,0.156815792,0.156837177,0.134514252,NRP2-VEGFA
COL1A2-a11b1 complex,COL1A2,a11b1 complex,,,,ITGB1,ITGA11,,0.035964036,0.246920316,0.274795778,0.580319273,0.333398957,0.59009007,0.315294291,0.23510251,0.052444846,0.352534537,0.402503368,0.788562415,0.777676771,0.309828229,0.292742205,0.354733718,0.456271839,0.354066103,0.368149159,0.320760353,0.284122831,0.290730876,0.302584256,0.387619173,0.375273397,0.320814215,0.331777131,0.327422195,0.339384712,COL1A2-COMPLEX_90
EPHA1-EFNA3,EPHA1,EFNA3,,,,,,,0.001998002,0.24161095,0.25239508,0.325033673,0.083422723,0.316510836,0.064115756,0.084038286,0.056224087,0.241813427,0.271437789,0.361583884,0.425299591,0.178663989,0.155016939,0.024463275,0.048927253,0.065427619,0.013558287,0.062803893,0.048712684,0.130900304,0.10575299,0.060656164,0.075448085,0.042272076,0.014444656,0.027394714,0.003811211,EPHA1-EFNA3
FN1-aVb5 complex,FN1,aVb5 complex,,,,ITGB5,ITGAV,,0.001998002,0.240888243,0.231704204,0.709488069,0.468599826,0.705612076,0.473907872,0.083189856,0.062194264,0.635691096,0.63990293,0.771321223,0.791037027,0.377325755,0.431218911,0.460024813,0.61379558,0.478539081,0.471378906,0.410854492,0.476436837,0.483333279,0.483090603,0.446504079,0.441827669,0.47060401,0.486287688,0.414640137,0.431540297,FN1-COMPLEX_109
LGALS9-COLEC12,LGALS9,COLEC12,,,,,,,0.007992008,0.240086274,0.250686462,0.5224632,0.282376927,0.530943455,0.280256993,0.11540574,0.094390652,0.471623443,0.386252628,0.590263467,0.641713264,0.42705711,0.399356222,0.176714145,0.250997633,0.16702187,0.200657585,0.337443369,0.346854278,0.309516353,0.208150704,0.211110252,0.180229465,0.151375204,0.177725328,0.152194464,0.127289074,LGALS9-COLEC12
WNT5A-PTPRK,WNT5A,PTPRK,,,,,,,0.001998002,0.239673848,0.216569756,0.390091798,0.150417949,0.389669129,0.173099373,0.041200429,0.075831481,0.421954868,0.429289289,0.35738339,0.351739645,0.057300219,0.018289041,0.20361,0.238019829,0.236401482,0.191828618,0.113086369,0.097896547,0.193377261,0.154370127,0.207052933,0.229177326,0.020851344,0.067810853,0.038705552,0.043215692,WNT5A-PTPRK
GRN-SORT1,GRN,SORT1,,,,,,,0.003996004,0.230972546,0.228584631,0.707862711,0.476890165,0.717218646,0.488634015,0.038712442,0.13050122,0.74115595,0.73315479,0.655857601,0.701282503,0.562340964,0.544924586,0.298708059,0.438447113,0.330086937,0.323062846,0.663324851,0.630738265,0.534464491,0.442803539,0.333632984,0.357834528,0.267967356,0.282114568,0.234427102,0.207789217,GRN-SORT1
COPA-SORT1,COPA,SORT1,,,,,,,0.003996004,0.230777334,0.244919513,0.646590201,0.415812867,0.655444086,0.410524573,0.06753706,0.09844196,0.714688802,0.683074036,0.560783832,0.627814135,0.406768633,0.459064325,0.277045808,0.38872293,0.323531261,0.300381771,0.576333612,0.532436924,0.479562893,0.414280513,0.278233935,0.321958477,0.204593165,0.164355179,0.172549449,0.096471528,COPA-SORT1
EPHA1-EFNA5,EPHA1,EFNA5,,,,,,,0.001998002,0.226132311,0.224002964,0.399599518,0.173467207,0.387843821,0.163840857,0.081956354,0.04740056,0.328997553,0.332924894,0.442762748,0.493712877,0.153963838,0.161115846,0.118187261,0.195449425,0.148980961,0.121004592,0.173676449,0.166565868,0.276846456,0.218881371,0.205358572,0.2390298,-0.003811868,0.03027929,0.011389998,-0.018539807,EPHA1-EFNA5
WNT5A-FZD2,WNT5A,FZD2,,,,,,,0.001998002,0.225922575,0.217832745,0.286894019,0.060971443,0.266288364,0.048455619,0.066441842,0.055283594,0.241010665,0.235850323,0.291566062,0.379149024,0.099461514,0.077297576,0.013367745,0.025461195,-0.015294806,0.021074688,0.152865212,0.138570071,0.053133665,0.043777572,0.078763549,0.074185314,0.041281633,0.093327428,0.041171182,0.042745819,WNT5A-FZD2
ALOX5-ALOX5AP,ALOX5,ALOX5AP,,,,,,,0.001998002,0.223771489,0.237798743,0.699971178,0.476199689,0.70239932,0.464600577,0.100653862,0.061521035,0.635888737,0.593806107,0.768909903,0.801279965,0.502233905,0.525173777,0.398657152,0.412919754,0.43771958,0.425255813,0.552840211,0.577995541,0.478544417,0.450656738,0.366481395,0.400238455,0.176473277,0.184817023,0.096084708,0.082909227,ALOX5-ALOX5AP
COL6A1-a11b1 complex,COL6A1,a11b1 complex,,,,ITGB1,ITGA11,,0.007992008,0.223368386,0.248153492,0.501009847,0.27764146,0.499024096,0.250870603,0.173460312,0.061280761,0.335069485,0.368925464,0.67092171,0.629122727,0.251617344,0.24247184,0.312393596,0.418852713,0.298839966,0.318784282,0.250123863,0.213634394,0.228653141,0.241043464,0.288541946,0.267634201,0.265927137,0.250507098,0.256132088,0.263859507,COL6A1-COMPLEX_90
EPHA1-EFNA4,EPHA1,EFNA4,,,,,,,0.001998002,0.219165694,0.251977371,0.360299696,0.141134002,0.360700111,0.10872274,0.027900065,0.084919599,0.340527341,0.387473893,0.332324671,0.38087288,0.25401601,0.222563763,0.048374466,0.097707787,0.05846126,0.069858158,0.072243985,0.119737692,0.251534895,0.216842002,0.173080352,0.203225428,0.049674084,0.019087899,0.094183974,0.043247553,EPHA1-EFNA4
VEGFA-KDR,VEGFA,KDR,,,,,,,0.001998002,0.21796072,0.238979608,0.309482097,0.091521377,0.306879584,0.067899976,0.0229034,0.075604133,0.312650221,0.301108946,0.284881629,0.339287592,0.009062223,0.028579286,0.136681136,0.201154704,0.176703569,0.179648932,0.040881482,0.048837985,0.086961966,0.006702482,0.075662867,0.0643321,0.06816371,0.038150431,0.095021503,0.059847664,VEGFA-KDR
COL10A1-a1b1 complex,COL10A1,a1b1 complex,,,,ITGB1,ITGA1,,0.023976024,0.213881863,0.231153525,0.396351372,0.182469509,0.393063544,0.161910019,0.171146447,0.074923036,0.243592343,0.253190679,0.555686057,0.532936408,0.159083743,0.239077917,0.140636683,0.144057796,0.162752056,0.161067981,0.315702083,0.274074624,0.054070822,0.17417138,0.052522391,0.000192281,0.061292995,0.074304001,0.031032097,0.060392382,COL10A1-COMPLEX_91
COL27A1-a1b1 complex,COL27A1,a1b1 complex,,,,ITGB1,ITGA1,,0.001998002,0.208086471,0.202631803,0.379534483,0.171448012,0.379484859,0.176853056,0.061670878,0.041151869,0.322778424,0.329704791,0.429264927,0.436389792,0.174309785,0.179396326,0.170239631,0.240639965,0.187935005,0.197163346,0.138063013,0.184410322,0.160580665,0.081742066,0.174987723,0.161134567,0.170700695,0.212644329,0.146779569,0.172878908,COL27A1-COMPLEX_91
EGFR-COPA,EGFR,COPA,,,,,,,0.003996004,0.207988108,0.182525645,0.684686849,0.476698741,0.684202176,0.501676531,0.047915105,0.14065429,0.738889683,0.707817323,0.631453361,0.660587028,0.48863663,0.514716432,0.317961885,0.369920724,0.33090127,0.281395966,0.629885853,0.610176459,0.648673323,0.574718871,0.221480847,0.279759663,0.11219741,0.117285009,0.094064298,0.117270955,EGFR-COPA
COL6A2-a11b1 complex,COL6A2,a11b1 complex,,,,ITGB1,ITGA11,,0.023976024,0.207342663,0.23119507,0.483798483,0.27645582,0.483644017,0.252448947,0.179936311,0.066938286,0.306327305,0.353203621,0.661578594,0.614084413,0.224539923,0.229686472,0.309423441,0.431577391,0.29499706,0.325796379,0.2565936,0.20842319,0.235216453,0.248304294,0.257819741,0.243531216,0.268206959,0.273649319,0.276157774,0.289468515,COL6A2-COMPLEX_90
ACVR_1B2A receptor-INHBB,ACVR_1B2A receptor,INHBB,ACVR1B,ACVR2A,,,,,0.007992008,0.207045376,0.206577013,0.353041617,0.145996241,0.350659674,0.144082662,0.174861006,0.035413754,0.540628452,0.45814157,0.170218667,0.243177779,0.108811326,0.161464331,0.104251859,0.14375096,0.152876154,0.12792576,0.174360426,0.118704106,0.223403125,0.144414363,0.199270446,0.234759077,0.085887051,0.104713708,0.070334544,0.067066154,COMPLEX_5-INHBB
NOTCH2-JAG2,NOTCH2,JAG2,,,,,,,0.001998002,0.204836028,0.211448835,0.377956363,0.173120336,0.3920034,0.180554565,0.04161168,0.043858181,0.401198644,0.382808157,0.317886431,0.409932222,0.21172985,0.197747526,0.152231752,0.186662696,0.147990233,0.13708923,0.232607151,0.174446433,0.206921435,0.083777052,0.055904374,0.025848543,0.047196882,0.096957419,0.072651346,0.038197172,NOTCH2-JAG2
