sample_name,p53_status,frame_name,region_label,numerator,denominator,percent,phenotype_label,measured,frame_index
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[9425,49016]",Any,1674,7003,23.90404113,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[7921,48546]",Any,1584,6395,24.76935106,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[15697,49550]",Any,937,2241,41.81169121,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[9107,50297]",Any,2989,4864,61.45148026,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,4
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[12497,51462]",Any,1647,5584,29.49498567,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[8000,49772]",Any,1503,5119,29.36120336,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9521,41065]",Any,634,1368,46.34502924,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,8
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9748,39432]",Any,824,1793,45.95649749,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,10
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[13604,44372]",Any,736,1928,38.17427386,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9552,44491]",Any,405,1777,22.79122116,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,9
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[16256,40152]",Any,849,2413,35.18441774,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[12499,49270]",Any,1113,2728,40.79912023,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[11003,44843]",Any,388,1287,30.14763015,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[13924,46127]",Any,984,3401,28.93266686,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,4
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[8789,46290]",Any,365,2755,13.24863884,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,7
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[11653,48213]",Any,777,4290,18.11188811,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[18041,35617]",Any,287,938,30.59701493,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,6
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[14434,51380]",Any,1468,2339,62.76186404,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[15363,41107]",Any,1637,3081,53.13209997,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,4
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[16523,52149]",Any,952,1609,59.16718459,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[13046,48250]",Any,1576,2600,60.61538462,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[12171,49425]",Any,1023,2036,50.24557957,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC014bLT_FT_T1,mut,"HTAPP_NSC014bLT_FT_T1_Scan1_[14046,52626]",Any,964,1333,72.31807952,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[12996,41700]",Any,1390,3312,41.96859903,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[7009,35596]",Any,1805,3584,50.36272321,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[5633,45269]",Any,282,1196,23.57859532,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[8804,44802]",Any,429,2011,21.33267031,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[7549,41059]",Any,169,460,36.73913043,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,4
HTAPP_NSC009bLT_FT_T1,WT,"HTAPP_NSC009bLT_FT_T1_Scan1_[7109,40366]",Any,50,125,40,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[14089,40791]",Any,48,130,36.92307692,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[20291,37738]",Any,138,353,39.09348442,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[12081,36100]",Any,2,150,1.333333333,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[21813,38393]",Any,174,646,26.93498452,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC001bLT_FT,WT,"HTAPP_NSC001bLT_FT_Scan1_[9692,41708]",Any,0,0,,% of Total cells that are Glut+ within 50um of CD68+OPN+,FALSE,4
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[17092,50631]",Any,55,1241,4.43190975,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[15795,50024]",Any,87,1096,7.937956204,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[8870,52239]",Any,15,1054,1.423149905,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,4
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[17672,49244]",Any,75,987,7.598784195,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[9172,50839]",Any,33,928,3.556034483,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC011bLT_FT_T1,mut,"HTAPP_NSC011bLT_FT_T1_Scan1_[15795,49330]",Any,315,2986,10.54922974,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[17926,49343]",Any,252,991,25.42885974,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[18597,46320]",Any,137,540,25.37037037,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,4
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[18093,43800]",Any,87,793,10.97099622,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[9602,41710]",Any,577,1677,34.40667859,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[12929,45102]",Any,458,1841,24.87778381,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC019bLT_FT_T1,WT,"HTAPP_NSC019bLT_FT_T1_Scan1_[14751,42558]",Any,1121,3094,36.23141564,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[12294,38619]",Any,715,4316,16.56626506,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[16401,40644]",Any,454,4060,11.18226601,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[15837,38634]",Any,333,3295,10.10622155,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,4
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[15476,40363]",Any,439,3696,11.87770563,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[14458,39669]",Any,590,4423,13.33936242,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC004bLT_FT,WT,"HTAPP_NSC004bLT_FT_Scan1_[13380,38272]",Any,567,5017,11.30157465,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[11791,45367]",Any,64,95,67.36842105,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[12815,45205]",Any,393,661,59.45537065,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[16564,43540]",Any,107,212,50.47169811,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[12359,46375]",Any,190,445,42.69662921,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[16564,42847]",Any,0,0,,% of Total cells that are Glut+ within 50um of CD68+OPN+,FALSE,4
HTAPP_NSC023bLT_FT_T1,WT,"HTAPP_NSC023bLT_FT_T1_Scan1_[12859,44279]",Any,517,825,62.66666667,% of Total cells that are Glut+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[13072,37337]",Any,8,695,1.151079137,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[14783,38259]",Any,10,520,1.923076923,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,3
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[13110,46241]",Any,6,563,1.065719361,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC005bLT_FT,WT,"HTAPP_NSC005bLT_FT_Scan1_[12147,37209]",Any,26,623,4.173354735,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[9425,49016]",Any,556,7003,7.939454519,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,5
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[7921,48546]",Any,342,6395,5.347928069,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,2
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[15697,49550]",Any,28,2241,1.249442213,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,1
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[9107,50297]",Any,94,4864,1.932565789,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,4
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[12497,51462]",Any,44,5584,0.787965616,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,0
HTAPP_NSC006bLT_FT,mut,"HTAPP_NSC006bLT_FT_Scan1_[8000,49772]",Any,181,5119,3.535846845,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,3
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9521,41065]",Any,51,1368,3.728070175,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,8
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9748,39432]",Any,38,1793,2.11935304,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,10
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[13604,44372]",Any,86,1928,4.460580913,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,3
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[9552,44491]",Any,146,1777,8.216094541,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,9
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[16256,40152]",Any,127,2413,5.263157895,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,5
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[12499,49270]",Any,106,2728,3.885630499,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,2
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[11003,44843]",Any,102,1287,7.925407925,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,0
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[13924,46127]",Any,116,3401,3.410761541,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,4
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[8789,46290]",Any,337,2755,12.2323049,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,7
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[11653,48213]",Any,429,4290,10,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,1
DFCI_GR_NSC014LT_FT,WT,"DFCI_GR_NSC014LT_FT_Scan1_[18041,35617]",Any,129,938,13.75266525,% of Total cells that are CD31+ within 50um of CD68+OPN+,TRUE,6
