"","mutation","neglogpval","neglogpvaldir","program","signif"
"36","Stage corrected",0.345559663229969,-0.345559663229969,"S100A.KRT.Trachea.ECM.KRASup","0"
"37","Histology corrected",4.04838985337646,-4.04838985337646,"CC.S","2"
"38","Histology corrected",0.0746523012820447,-0.0746523012820447,"IFNG","0"
"39","Histology corrected",1.25332239259381,1.25332239259381,"MT.respiration","1"
"40","Histology corrected",2.61227645876912,-2.61227645876912,"CC.G2M","2"
"41","Histology corrected",3.18472373845005,3.18472373845005,"HLA_D.AT2","2"
"42","Histology corrected",2.60143550716785,-2.60143550716785,"Hypoxia","2"
"43","Histology corrected",1.68477383373245,-1.68477383373245,"metallothionein","2"
"44","Histology corrected",0.399509660437387,-0.399509660437387,"Ribosome","0"
"45","Histology corrected",0.690180266050951,0.690180266050951,"AT.SFTPC","0"
"46","Histology corrected",1.46761796257342,1.46761796257342,"AT.SFTPA2.1","2"
"47","Histology corrected",1.69071771099537,-1.69071771099537,"Glycolysis.Hypox","2"
"48","Histology corrected",0.05790361723891,-0.05790361723891,"JUN.FOS","0"
"49","Histology corrected",0.284037377310184,-0.284037377310184,"TNFA.NFKB","0"
"50","Histology corrected",3.25375824447392,-3.25375824447392,"pEMT","2"
"51","Histology corrected",0.101699967047667,0.101699967047667,"OxPhos","0"
"52","Histology corrected",0.177445693996457,0.177445693996457,"Secretory","0"
"53","Histology corrected",0.12543577501875,0.12543577501875,"Ciliated","0"
"54","Histology corrected",1.10889112211355,-1.10889112211355,"S100A.KRT.Trachea.ECM.KRASup","1"
"55","uncorrected",3.58445432941235,-3.58445432941235,"CC.S","2"
"56","uncorrected",0.259074547915764,-0.259074547915764,"IFNG","0"
"57","uncorrected",1.42844223678554,1.42844223678554,"MT.respiration","2"
"58","uncorrected",2.54246222395045,-2.54246222395045,"CC.G2M","2"
"59","uncorrected",3.89780888427979,3.89780888427979,"HLA_D.AT2","2"
"60","uncorrected",2.9381634289858,-2.9381634289858,"Hypoxia","2"
"61","uncorrected",2.56345875192914,-2.56345875192914,"metallothionein","2"
"62","uncorrected",0.348585118066168,-0.348585118066168,"Ribosome","0"
"63","uncorrected",1.0151931272544,1.0151931272544,"AT.SFTPC","1"
"64","uncorrected",1.32953688994044,1.32953688994044,"AT.SFTPA2.1","2"
"65","uncorrected",2.06994752866335,-2.06994752866335,"Glycolysis.Hypox","2"
"66","uncorrected",0.057827173820254,-0.057827173820254,"JUN.FOS","0"
"67","uncorrected",0.195034814021153,-0.195034814021153,"TNFA.NFKB","0"
"68","uncorrected",3.15780267830657,-3.15780267830657,"pEMT","2"
"69","uncorrected",0.0374030847412406,0.0374030847412406,"OxPhos","0"
"70","uncorrected",0.298187429354768,0.298187429354768,"Secretory","0"
"71","uncorrected",0.270082997083441,0.270082997083441,"Ciliated","0"
"72","uncorrected",1.1280840772622,-1.1280840772622,"S100A.KRT.Trachea.ECM.KRASup","1"
